Artist,Name of Song,Language
Beach Weather,Sex, Drugs, Etc.,English
Khi Infinite,SOMETIMES,English
Kid Travis,Show U Luv,English
Kid Travis,Insomnia,English
Kid Travis,Perfume,English
Kid Travis,Sunset Avenue,English
Polyphia,Ego Death (feat. Steve Vai),English
Polyphia,Neurotica,English
Polyphia,Playing God,English
Train,Drive By,English
fun.,We Are Young (feat. Janelle Monáe),English
The Yellow Diary,Buniyaad 2.0,Hindi
Polyphia,Memento Mori (feat. Killstation),English
Polyphia,ABC (feat. Sophia Black),English
Kid Travis,Galaxy,English
FINNEAS,Let's Fall in Love for the Night,English
Nic D,Icee Pop,English
Zach Hood,13 Missed Calls,English
Sylo,FOMO,English
Lil Baby,Pop Out (feat. Nardo Wick),English
Lil Baby,Real Spill,English
Khalid,OTW,English
6LACK,First Fuck,English
Trey Bond,Start Over (feat. 6LACK),English
Shiloh Dynasty,I’ll Keep You Safe,English
SwitchOTR,Coming for You (feat. A1 x J1),English
HAZEY,Packs and Potions,English
Ice Cube,It Was A Good Day,English
Sheff G,Listen,English
MASN,Hate Me!,English
Marco Luka,paradise,English
greek,rewind,English
Camila Cabello,Bam Bam (feat. Ed Sheeran),English
Kid Travis,Strawberry Skies,English
Lil Uzi Vert,20 Min,English
GIVĒON,Heartbreak Anniversary,English
YG,I Dance (with Duki, feat. Cuco),English
Lil Baby,Drip Too Hard (Lil Baby & Gunna),English
YK Osiris,Worth It,English
Dhruv,moonlight,English
admo,Equinox,English
Post Malone,Wasting Angels (with The Kid LAROI),English
Post Malone,One Right Now (with The Weeknd),English
isthatshiko,Shame,English
The Police,Every Breath You Take,English
50 Cent,Many Men (Wish Death),English
80purppp,Soleil,English
Summer Walker,No Love (with SZA),English
SZA,I Hate U,English
Summer Walker,Ex For A Reason (with JT from City Girls),English
Ravneet Aulakh,Pyar Te Vail,Punjabi
YSN Flow,Want Beef?,English
Far East Movement,Rocketeer,English
Lil Baby,In A Minute,English
Kendrick Lamar,All The Stars (with SZA),English
Harry Styles,Sign of the Times,English
Roy Woods,Drama (feat. Drake),English
Ice Spice,Munch (Feelin’ U),English
Indila,Tourner Dans Le Vide,French
Nic D,Talladega,English
DJ Khaled,NO SECRET (feat. Drake),English
Shaggy,It Wasn't Me,English
RIZ LA VIE,Go Again,English
BENEE,Supalonely,English
24kGoldn,VALENTINO,English
Bad Bunny,Party,Spanish
Drake,Fair Trade (with Travis Scott),English
Doja Cat,Vegas (From the Original Motion Picture Soundtrack ELVIS),English
Pop Smoke,What You Know Bout Love,English
Preme,Make a Mall,English
PnB Rock,HIGH,English
```
Here is the analysis of the songs in CSV format, including the Artist, Name of Song, and Language. The language is inferred based on the artist and song title:

```csv
Artist,Name of Song,Language
Central Cee,Doja,English
Softwilly,I LOVE YOU SO,English
Soulja Boy,Kiss Me Thru The Phone,English
Pop Smoke,Hello (feat. A Boogie Wit da Hoodie),English
Joji,Glimpse of Us,English
Milk & Bone,On brûlera - Spotify Singles,French
Pritam,Subhanallah,Hindi
A.R. Rahman,Tere Bina,Hindi
Armaan Malik,Pehla Pyaar (From "Kabir Singh"),Hindi
Jubin Nautiyal,Kaabil Hoon,Hindi
Pritam,Kabira,Hindi
Pritam,Hawayein,Hindi
Atif Aslam,Be Intehaan (From "Race 2"),Hindi
Harshdeep Kaur,Kabira (Encore),Hindi
Baby Keem,16,English
Marc,แมนๆไปเลย (Now or Never),Thai
Yung Filly,Confidence,English
DJ Khaled,GREECE (feat. Drake),English
The Killers,Mr. Brightside,English
AJ Mitchell,All My Friends,English
Mithoon,Tum Hi Ho,Hindi
Imran Khan,Bewafa,Urdu
Nicki Minaj,Starships,English
Tyga,Freaky Deaky,English
Internet Money,She Want Some More (Feat. Ken Carson & Lil Tecca),English
Cody Fry,Better,English
Wiz Khalifa,See You Again (feat. Charlie Puth),English
Summer Walker,Just Might (with PARTYNEXTDOOR),English
Summer Walker,Come Thru (with Usher),English
Summer Walker,Playing Games (with Bryson Tiller) - Extended Version,English
Gen Hoshino,Comedy,Japanese
Grover Washington, Jr.,Just the Two of Us,English
Benzz,Je M'appelle (feat. Tion Wayne & French Montana) - Remix,English/French
Logic,Homicide,English
Tory Lanez,The Color Violet,English
Gunna,Top Off,English
Anirudh Ravichander,Why This Kolaveri Di? - The Soup of Love,Tamil
XXXTENTACION,Look At Me!,English
Ruger,Dior,English
Justin Bieber,Beauty And A Beat,English
Justin Bieber,Confident,English
Sadie Jean,WYD Now?,English
Jessie Murph,Always Been You,English
Jaymes Young,Happiest Year,English
Lauren Spencer Smith,Fingers Crossed,English
GARYSHAWN,Boo Thang,English
Femme It Forward,What You Deserve (Remix),English
Alesso,Chasing Stars (feat. James Bay),English
Alec Benjamin,Let Me Down Slowly,English
Lewis Capaldi,Before You Go,English
J. Cole,Work Out,English
Nicky Youre,Sunroof,English
OneRepublic,I Ain't Worried,English
Oliver Tree,Life Goes On,English
Avicii,Waiting For Love,English
Mario,Let Me Love You,English
Max Richter,On the Nature of Daylight,Instrumental
Young Thug,Digits,English
Pusha T,Nosetalgia,English
21 Savage,Bank Account,English
Central Cee,Obsessed With You,English
Lil Uzi Vert,The Way Life Goes (feat. Oh Wonder),English
Oh Wonder,Landslide,English
Nirvana,Something In The Way,English
Kanye West,Follow God,English
Childish Gambino,Heartbeat,English
Doja Cat,Kiss Me More (feat. SZA),English
24kGoldn,Mood (feat. iann dior),English
Doja Cat,Say So (feat. Nicki Minaj),English
Dua Lipa,Don't Start Now,English
Maroon 5,Girls Like You (feat. Cardi B),English
Clean Bandit,Solo (feat. Demi Lovato),English
Calvin Harris,One Kiss (with Dua Lipa),English
Camila Cabello,Havana (feat. Young Thug),English
Dua Lipa,New Rules,English
Rae Sremmurd,Black Beatles,English
Clean Bandit,Rockabye (feat. Sean Paul & Anne-Marie),English
Sia,Cheap Thrills (feat. Sean Paul),English
Ariana Grande,Problem,English
John Legend,All of Me,English
Eminem,The Monster,English
Avicii,Wake Me Up,English
Bruno Mars,Locked out of Heaven,English
Flo Rida,Whistle,English
Katy Perry,Wide Awake,English
Flo Rida,Good Feeling,English
Rihanna,We Found Love,English
Pitbull,Give Me Everything (feat. Nayer),English
Lil Tecca,Ransom (with Juice WRLD) - Remix,English
SAINt JHN,Ransom (feat. 6LACK & Kehlani),English
YG,Hard Bottoms & White Socks,English
Lil Skies,Magic,English
Big Sean,Living Single,English
BROCKHAMPTON,SUGAR,English
Bruno Major,Nothing,English
Skye,VOICES (feat. XXXTENTACION),English
David Kushner,Mr. Forgettable,English
Sean Paul,No Lie,English
The Weeknd,Out of Time,English
Atif Aslam,Tera Hone Laga Hoon,Hindi
Pritam,Balam Pichkari,Hindi
Tesher,Jalebi Baby (Tesher x Jason Derulo),English/Hindi
JID,Surround Sound (feat. 21 Savage & Baby Tate),English
2WIN,ROCK OUT,English
Oliver Malcolm,The Jungle,English
KillBunk,Know Better,English
Nardo Wick,Me or Sum (feat. Future & Lil Baby),English
benny blanco,Eastside (with Halsey & Khalid),English
NLE Choppa,Walk Em Down (feat. Roddy Ricch),English
Lil Tecca,When You Down (with Polo G feat. Lil Durk),English
Ariana Grande,pov,English
Lewis Capaldi,Bruises,English
Pedro Capó,Calma - Remix,Spanish
Jason Mraz,I'm Yours,English
Lil Durk,Petty Too (feat. Future),English
Megan Thee Stallion,Sweetest Pie,English
Bo Burnham,All Eyes On Me,English
The Living Tombstone,My Ordinary Life,English
Croosh,RIP,English
Strawberry Guy,Mrs Magic,English
Drake,Too Good,English
Doja Cat,Options (feat. JID),English
Doja Cat,You Right,English
Doja Cat,Payday (feat. Young Thug),English
Doja Cat,Woman,English
Dreamville,Sacrifices (with EARTHGANG & J. Cole feat. Smino & Saba),English
Shawn Mendes,Señorita,English
Jaymes Young,Infinity,English
BoyWithUke,Toxic,English
Powfu,death bed (coffee for your head),English
Dhruv,double take,English
PRETTYMUCH,Solita (feat. Rich The Kid),English
KAROL G,Follow,Spanish
NLE Choppa,Camelot,English
Duncan Laurence,Arcade,English
Imagine Dragons,Demons,English
AURORA,Runaway,English
Bruno Mars,Talking to the Moon,English
Bruno Mars,Just the Way You Are,English
ZAYN,Dusk Till Dawn (feat. Sia),English
Macklemore & Ryan Lewis,Thrift Shop (feat. Wanz),English
Eminem,Not Afraid,English
Calvin Harris,Summer,English
Carlos Vives,La Bicicleta,Spanish
Calvin Harris,How Deep Is Your Love,English
David Guetta,Titanium (feat. Sia),English
Coldplay,Paradise,English
PSY,Gentleman,Korean
Sam Smith,I'm Not The Only One,English
Katy Perry,Firework,English
```

Note: The language is inferred based on the artist's primary language and the song title. Some songs may have mixed languages or feature artists from different linguistic backgrounds.
To analyze the songs and return the results in CSV format with the Artist, Name of Song, and Language, I'll need to make some assumptions about the language based on the artist or song title. Here's the CSV format output:

```csv
Artist,Name of Song,Language
Queen,Bohemian Rhapsody,English
Imagine Dragons,Radioactive,English
Sam Smith,Too Good At Goodbyes,English
James Arthur,Say You Won't Let Go,English
Charlie Puth,Attention,English
BTS,DNA,Korean
BLACKPINK,Kill This Love,Korean
Don Omar,Danza Kuduro,Spanish
Rihanna,Work,English
Coldplay,Adventure of a Lifetime,English
Bad Bunny,MIA (feat. Drake),Spanish
KAROL G,Tusa,Spanish
Arctic Monkeys,Do I Wanna Know?,English
Dhvani Bhanushali,Vaaste,Hindi
Tyga,Taste (feat. Offset),English
Pharrell Williams,Happy - From "Despicable Me 2",English
Twenty One Pilots,Ride,English
David Guetta,Play Hard (feat. Ne-Yo & Akon),English
Nemzzz,2MS,English
Elton John,Cold Heart - PNAU Remix,English
Bazzi,Fantasy,English
Katy Perry,California Gurls,English
Katy Perry,Last Friday Night (T.G.I.F.),English
The Lonely Island,Threw It On The Ground,English
The Lonely Island,The Creep,English
The Lonely Island,I Just Had Sex,English
The Lonely Island,Jack Sparrow,English
The Lonely Island,Finest Girl (Bin Laden Song),English
Eminem,Without Me,English
Eminem,Lose Yourself,English
50 Cent,In Da Club,English
USHER,DJ Got Us Fallin' In Love (feat. Pitbull),English
Black Eyed Peas,I Gotta Feeling,English
Fall Out Boy,Centuries,English
K'NAAN,Wavin' Flag,English
Jay Sean,Down,English
Kina,Get You The Moon (feat. Snøw),English
Chunkz,Vibranium,English
Billie Eilish,No Time To Die,English
Billie Eilish,Happier Than Ever,English
Katy Perry,Teenage Dream,English
Lauv,I Like Me Better,English
Harry Styles,Watermelon Sugar,English
Gym Class Heroes,Stereo Hearts (feat. Adam Levine),English
Calvin Harris,This Is What You Came For,English
Internet Money,His & Hers (feat. Don Toliver, Lil Uzi Vert & Gunna),English
Edward Maya,Stereo Love - Original,English
Lauren Spencer Smith,Fingers Crossed,English
Ruth B.,Dandelions,English
DJ Antoine,La Vie en Rose - DJ Antoine & Mad Mark 2k17 Mix,French
David Guetta,Dangerous (feat. Sam Martin),English
NF,Let You Down,English
José González,Stay Alive,English
A-Wall,Loverboy,English
grentperez,Cherry Wine,English
Pink Sweat$,Midnight River (feat. 6LACK),English
Imagine Dragons,Enemy (with JID) - from the series Arcane League of Legends,English
DEAN,instagram,Korean
Sleepy Hallow,2055,English
Kato,Ocean Spirit,English
G2 Genesis,Zoouston,English
DPR IAN,So Beautiful,English
yama,Oz.,Japanese
LiSA,明け星,Japanese
Kato,Konoha Peace,English
Alexander Rybak,Fairytale,English
Lil Baby,How It Feels,English
Billie Eilish,bellyache,English
Charlie Curtis-Beard,Anime & Chardonnay,English
Sleepy Hallow,1999,English
Slimelife Shawty,Suit Me Up,English
keshi,always,English
Peach Tree Rascals,Change My Mind,English
政学Zed-X,Bad Bxxxx (坏女人),Chinese
EDEN,crash,English
BlueBucksClan,Aaron Judge (feat. Cash Kidd),English
Lil Baby,Emotionally Scarred,English
Drake,Love All (with JAY-Z),English
Kanye West,Jesus Lord pt 2,English
Kanye West,Jesus Lord,English
Kanye West,Keep My Spirit Alive,English
Kanye West,Donda,English
Kanye West,24,English
Kanye West,Junya,English
Kanye West,Jonah,English
Drake,IMY2 (with Kid Cudi),English
Drake,Get Along Better,English
Drake,You Only Live Twice (with Lil Wayne & Rick Ross),English
Drake,Fountains (with Tems),English
Drake,7am On Bridle Path,English
Drake,Knife Talk (with 21 Savage ft. Project Pat),English
Drake,Yebba’s Heartbreak,English
Drake,Pipe Down,English
Drake,N 2 Deep,English
Drake,TSU,English
Drake,Way 2 Sexy (with Future & Young Thug),English
Drake,Fair Trade (with Travis Scott),English
Drake,In The Bible (with Lil Durk & Giveon),English
Drake,Champagne Poetry,English
Drake,Girls Want Girls (with Lil Baby),English
Drake,Papi’s Home,English
Panic! At The Disco,I Write Sins Not Tragedies,English
Lil Tjay,Headshot (feat. Polo G & Fivio Foreign),English
Big Sean,Wolves (feat. Post Malone),English
Alexander L'Estrange,Hello Sunshine,English
Lil Baby,On Me,English
Polo G,No Return (with The Kid LAROI & Lil Durk),English
Lil Baby,Hats Off (feat. Travis Scott),English
Masego,Tadow - Extended Version,English
Chinozo,Good-bye Declaration,Japanese
Tiago PZK,Entre Nosotros,Spanish
The Kid LAROI,STAY (with Justin Bieber),English
SR,Welcome To Brixton,English
Stormzy,Vossi Bop,English
Masego,Silver Tongue Devil (feat. Shenseea),English
YNW Melly,Slang That Iron,English
YNW Melly,Take Kare (feat. Lil Baby & Lil Durk),English
YoungBoy Never Broke Again,Coordination,English
YoungBoy Never Broke Again,You the One,English
Ty Dolla $ign,Ego Death (feat. Kanye West, FKA twigs & Skrillex),English
MarMar Oso,Ruthless (Nice Guys Always Finish Last) (feat. Sage The Gemini & Derek King) - Remix,English
HAARPER,The Alchemist,English
Gunna,DOLLAZ ON MY HEAD (feat. Young Thug),English
Marshmello,Silence,English
Brandon ThaKidd,Poverty,English
Drake,Time Flies,English
Drake,War,English
Drake,Jumpman,English
Sleepy Hallow,Anxiety Freestyle,English
Sheff G,Weight On Me,English
YSN Fab,City Lights,English
Pressa,Attachments (feat. Coi Leray),English
Sleepy Hallow,2055,English
Young Stoner Life,Solid (feat. Drake),English
J. Cole,a p p l y i n g . p r e s s u r e,English
J. Cole,m y . l i f e (with 21 Savage & Morray),English
Nicki Minaj,Only,English
Nicki Minaj,Seeing Green (with Drake & Lil Wayne),English
Polo G,GANG GANG (with Lil Wayne),English
Ywnolu,Million Dollar Dream,English
J. Cole,Fire Squad,English
Eminem,The Real Slim Shady,English
Smino,Baguetti (with JID & Kenny Beats),English
J. Cole,p r i d e . i s . t h e . d e v i l (with Lil Baby),English
J. Cole,a m a r i,English
Kid Cudi,Pursuit Of Happiness (Nightmare),English
J. Cole,i n t e r l u d e,English
Mrs. GREEN APPLE,インフェルノ,Japanese
Unimerce,Life,English
Halsey,Without Me (with Juice WRLD),English
```

Note: The language is inferred based on common knowledge about the artists and song titles. Some songs may have multiple languages or be in a different language than assumed.
Sure, here is the analysis of the songs in CSV format with the columns Artist, Name of Song, and Language. Since the language of the songs is not explicitly provided, I will assume that all songs are in English based on the artists and titles.

```csv
Artist,Name of Song,Language
Post Malone,Psycho (feat. Ty Dolla $ign),English
Wrabel,Bloodstain,English
Vedo,You Got It,English
Toosii,what it cost,English
Macklemore,Can't Hold Us (feat. Ray Dalton),English
Lil Peep,Star Shopping,English
The Kid LAROI,WITHOUT YOU,English
SZA,Good Days,English
Justin Bieber,Peaches (feat. Daniel Caesar & Giveon),English
Lil Tjay,Calling My Phone,English
COMFY,Hoods Hottest,English
Polo G,RAPSTAR,English
The Kid LAROI,Shot For Me - Spotify Singles,English
Joey Bada$$,The Light,English
Polo G,21,English
Polo G,Flex (feat. Juice WRLD),English
Brent Faiyaz,Dead Man Walking,English
Money Man,24 (feat. Lil Baby),English
YNW Melly,223's (feat. 9lokknine),English
StaySolidRocky,Party Girl,English
Polo G,Heartless (feat. Mustard),English
A Boogie Wit da Hoodie,Swervin (feat. 6ix9ine),English
Akintoye,Who Gets Your Love?,English
Akintoye,Losing My Mind,English
Akintoye,Say Less,English
Akintoye,Vertigo,English
Akintoye,Kidding,English
JID,151 Rum,English
Central Cee,Loading,English
Central Cee,Commitment Issues,English
JAY-Z,Ni**as In Paris,English
YNW Melly,Thugged Out (feat. Kodak Black),English
Rod Wave,Rags2Riches 2 (feat. Lil Baby),English
Rihanna,FourFiveSeconds,English
PARTYNEXTDOOR,LOYAL (feat. Drake),English
Drake,What’s Next,English
Popcaan,TWIST & TURN (feat. Drake & PARTYNEXTDOOR),English
PARTYNEXTDOOR,Come and See Me (feat. Drake),English
PARTYNEXTDOOR,BELIEVE IT,English
Nico & Vinz,Am I Wrong,English
Pop Smoke,The Woo (feat. 50 Cent & Roddy Ricch),English
Pop Smoke,Creature (feat. Swae Lee),English
Pop Smoke,Yea Yea,English
Pop Smoke,Mood Swings (feat. Lil Tjay & Summer Walker) - Remix,English
Lil Tjay,Leaked (feat. Lil Wayne) - Remix,English
Pop Smoke,Mood Swings (feat. Lil Tjay),English
NorthSideBenji,Levels (feat. Houdini),English
Lil Berete,War Ready,English
Future,Last Breath,English
Pop Smoke,Got It On Me,English
Tiësto,Red Lights,English
2KBABY,Old Streets,English
Lil Wayne,Sucker for Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors),English
Post Malone,Enemies (feat. DaBaby),English
Billie Eilish,lovely (with Khalid),English
G-Eazy,Still Be Friends (feat. Tory Lanez & Tyga),English
Drake,Teenage Fever,English
Bryson Tiller,Exchange,English
Sara Kays,Remember That Night?,English
Ty Dolla $ign,Spicy (feat. Post Malone),English
Kid Cudi,Damaged,English
YoungBoy Never Broke Again,My Window (feat. Lil Wayne),English
Lil Wayne,B.B. King Freestyle (with Drake),English
Juice WRLD,Reminds Me Of You,English
Gunna,MET GALA,English
2gaudy,Rage,English
cinnamons,summertime,English
The Kid LAROI,TRAGIC (feat. Youngboy Never Broke Again & Internet Money),English
Internet Money,Lemonade (feat. Gunna, Don Toliver & NAV),English
Brandon ThaKidd,Poverty,English
Roddy Ricch,Die Young,English
Juice WRLD,Robbery,English
itssvd,Losing Interest,English
Rod Wave,Heart On Ice,English
Wiz Khalifa,The Thrill,English
Anitta,Me Gusta (with Cardi B & Myke Towers),English
Gotye,Somebody That I Used To Know,English
PnB Rock,MIDDLE CHILD,English
The Kid LAROI,Diva (feat. Lil Tecca),English
Juice WRLD,Bandit (with YoungBoy Never Broke Again),English
Lil Tjay,Losses - Bonus,English
2KBABY,MAD,English
half•alive,still feel.,English
George Ezra,Budapest,English
Major Lazer,Run Up,English
Kungs,This Girl (Kungs Vs. Cookin' On 3 Burners),English
Kungs,I Feel So Bad,English
YNW Melly,Murder on My Mind,English
The Kid LAROI,Fade Away,English
Lil Tjay,Zoo York (feat. Fivio Foreign & Pop Smoke),English
Lil Tjay,Leaked,English
Lil Tjay,Sex Sounds,English
Polo G,Pop Out (feat. Lil Tjay),English
The Kid LAROI,GO (feat. Juice WRLD),English
Khalid,Location,English
Aminé,Compensating (feat. Young Thug),English
Lil Tjay,F.N,English
YNW Melly,Suicidal (feat. Juice WRLD) - Remix,English
The Kid LAROI,SELFISH,English
The Kid LAROI,NEED YOU MOST (So Sick),English
The Kid LAROI,RUNNING,English
The Kid LAROI,ERASE U,English
The Kid LAROI,NOT FAIR (feat. Corbin),English
The Kid LAROI,MAYBE,English
The Kid LAROI,SAME THING,English
The Kid LAROI,TELL ME WHY,English
DaBaby,ROCKSTAR (feat. Roddy Ricch),English
Trippie Redd,Who Needs Love,English
Trippie Redd,Love Me More,English
Trippie Redd,Love Sick,English
Juice WRLD,Tell Me U Luv Me (with Trippie Redd),English
J.I the Prince of N.Y,Painless 2 (with NAV feat. Lil Durk),English
Jónsi,Where No One Goes,English
Jai Wolf,Moon Rider (feat. Wrabel),English
flor,slow motion,English
21 Savage,all my friends,English
Tyla Yaweh,High Right Now (feat. Wiz Khalifa) - Remix,English
2KBABY,OLD STREETS (feat. Lil Durk) - Remix,English
NAV,Champion (feat. Travis Scott),English
DJ Khaled,POPSTAR (feat. Drake),English
Drake,Laugh Now Cry Later (feat. Lil Durk),English
Coleman Hell,2 Heads,English
Rag'n'Bone Man,Human,English
Roy Woods,I Feel It,English
flora cash,You're Somebody Else,English
Post Malone,92 Explorer,English
6LACK,Pretty Little Fears (feat. J. Cole),English
Drake,Sandra’s Rose,English
SAINt JHN,Borders (feat. Lenny Kravitz),English
SAINt JHN,Who Do You Blame,English
SAINt JHN,Trap (feat. Lil Baby),English
BANNERS,Back When We Had Nothing,English
The Neighbourhood,Sweater Weather,English
KALEO,Way down We Go,English
X Ambassadors,Renegades,English
X Ambassadors,Unsteady,English
BANNERS,Shine a Light,English
BANNERS,Start a Riot,English
Ouse,You Make It Worse,English
Aftertheparty,Numb,English
Eminem,Godzilla (feat. Juice WRLD),English
The Shutes,Bright Blue Berlin Sky,English
Passenger,Let Her Go,English
Sylvan Esso,Hey Mami (Big Wild Remix),English
Josh A,Worst Mistakes,English
Josh A,Fearless,English
Ouse,Night,English
Drake,Chicago Freestyle (feat. Giveon),English
21 Savage,a lot,English
Ruth B.,Lost Boy,English
```

Please note that the language is assumed to be English for all songs. If you have specific information about the language of any song that differs from this assumption, please let me know!
```csv
Artist,Name of Song,Language
Juice WRLD,Hate The Other Side (with Marshmello & The Kid Laroi),English
Coldplay,Fix You,English
Coldplay,Yellow,English
The Chainsmokers,Something Just Like This,English
Coldplay,Viva La Vida,English
Coldplay,The Scientist,English
NF,Lie,English
Lund,Broken,English
Maria Lynn,All or Nothing (Acoustic),English
Jon Bellion,iRobot,English
WILLOW,Wait a Minute!,English
Headie One,Only You Freestyle,English
Juice WRLD,Wishing Well,English
Juice WRLD,Come & Go (with Marshmello),English
Swae Lee,Won't Be Late (feat. Drake),English
6LACK,ATL Freestyle,English
6LACK,Seasons (feat. Khalid),English
6LACK,Scripture,English
6LACK,PRBLMS,English
Post Malone,rockstar (feat. 21 Savage),English
Young Thug,The London (feat. J. Cole & Travis Scott),English
6LACK,Outside,English
6LACK,Know My Rights (feat. Lil Baby),English
6LACK,Elephant In The Room,English
6LACK,Long Nights,English
6LACK,Float,English
Ruby Waters,Supernatural,English
Drake,Behind Barz - Bonus,English
Billie Eilish,ocean eyes,English
Pop Smoke,For The Night (feat. Lil Baby & DaBaby),English
AJR,Burn the House Down,English
blackbear,hot girl bummer,English
blackbear,idfc,English
XXXTENTACION,Hope,English
XXXTENTACION,Jocelyn Flores,English
Post Malone,Congratulations,English
Rae Sremmurd,No Type,English
French Montana,Unforgettable,English
Lil Skies,Nowadays (feat. Landon Cube),English
21 Savage,Secret (feat. Summer Walker),English
Bazzi,Focus (feat. 21 Savage),English
Lil Tecca,Shots,English
XXXTENTACION,Arms Around You (feat. Maluma & Swae Lee),English
Russ,CIVIL WAR - Bonus,English
Ed Sheeran,Antisocial (with Travis Scott),English
Drake,Toosie Slide,English
Drake,Marvins Room,English
Juice WRLD,Righteous,English
Juice WRLD,Lean Wit Me,English
J. Cole,Wet Dreamz,English
J. Cole,Love Yourz,English
J. Cole,G.O.M.D.,English
Post Malone,Circles,English
Young Thug,The London (feat. J. Cole & Travis Scott),English
Lil Tecca,All Star (with Lil Tjay),English
Meek Mill,Going Bad (feat. Drake),English
Not3s,Aladdin,English
Drake,Sneakin’,English
VK Blanka,Black Catcher,English
Lil Mosey,G Walk (with Chris Brown),English
Lil Peep,Falling Down - Bonus Track,English
Trevor Daniel,Falling,English
Future,Life Is Good (feat. Drake),English
Mr.Kitty,After Dark,English
LUCKY3RD,Life Goes On,English
Dominic Fike,3 Nights,English
Logic,Keanu Reeves,English
Ali Gatie,It's You,English
Future,Fine China,English
Juice WRLD,Armed And Dangerous,English
Preme,Jackie Chan,English
21 Savage,a lot,English
Kap G,I See You (feat. Chris Brown),English
Young Thug,Sin (feat. Jaden Smith),English
J. Cole,MIDDLE CHILD,English
Wiz Khalifa,Hopeless Romantic (feat. Swae Lee),English
J. Cole,Neighbors,English
J. Cole,No Role Modelz,English
J. Cole,Deja Vu,English
The Chainsmokers,Somebody,English
XXXTENTACION,Moonlight,English
Jaden,Summertime In Paris,English
Russ,Losin Control,English
Noah Cyrus,Again (feat. XXXTENTACION),English
Young the Giant,Superposition,English
The Lumineers,Ophelia,English
XXXTENTACION,changes,English
Post Malone,Sunflower - Spider-Man: Into the Spider-Verse,English
Aminé,Invincible,English
Juice WRLD,Hide (feat. Seezyn),English
Thutmose,Memories,English
Beau Young Prince,Let Go,English
Drake,Don’t Matter To Me (with Michael Jackson),English
Drake,Survival,English
Drake,Nonstop,English
Drake,Emotionless,English
Drake,I'm Upset,English
Drake,Mob Ties,English
Drake,Can’t Take A Joke,English
Drake,Is There More,English
Drake,Peak,English
Drake,Jaded,English
Drake,Finesse,English
Drake,Ratchet Happy Birthday,English
Drake,That’s How You Feel,English
Drake,Blue Tint,English
Drake,Final Fantasy,English
Drake,March 14,English
Drake,Free Smoke,English
Drake,No Long Talk,English
Drake,Passionfruit,English
Drake,Jorja Interlude,English
Drake,Get It Together,English
Drake,Madiba Riddim,English
Drake,Blem,English
Drake,4422,English
Drake,Sacrifices,English
Drake,Glow,English
Drake,Since Way Back,English
Drake,Fake Love,English
Drake,Do Not Disturb,English
```